DEPT,CNPOR,GR,RHOB,DT,MELCAL,SPOR,Vsh
1524.50,15.25,14.93,2.25,71.89,14.33,17.18,0.03
1525.00,14.71,13.77,2.19,71.36,14.24,16.80,0.02
1525.50,17.01,13.18,2.12,71.11,14.66,16.62,0.02
1526.00,19.17,13.95,2.09,71.18,15.76,16.68,0.02
1526.50,18.30,15.58,2.12,71.34,16.66,16.79,0.03
1527.00,15.15,16.28,2.20,71.33,17.04,16.78,0.03
1527.50,15.72,16.27,2.27,71.44,15.79,16.86,0.03
1528.00,22.22,16.46,2.29,72.03,15.79,17.28,0.03
1528.50,28.11,17.44,2.30,72.94,15.81,17.92,0.03
1529.00,24.52,19.79,2.32,73.68,15.11,18.44,0.04
1529.50,16.81,19.84,2.32,73.92,15.30,18.62,0.04
1530.00,15.30,18.83,2.29,73.67,15.83,18.44,0.04
1530.50,18.19,16.97,2.22,73.11,16.66,18.04,0.03
1531.00,19.16,14.58,2.13,72.44,16.95,17.57,0.03
1531.50,16.87,15.67,2.04,71.82,17.41,17.13,0.03
1532.00,18.49,16.52,1.94,71.48,18.23,16.88,0.03
1532.50,29.68,14.46,1.84,71.68,18.40,17.03,0.03
1533.00,40.12,11.97,1.77,72.46,18.43,17.58,0.02
1533.50,39.62,12.39,1.72,73.24,18.42,18.14,0.02
1534.00,33.47,12.71,1.67,73.27,17.89,18.16,0.02
1534.50,28.78,14.26,1.60,72.33,17.26,17.49,0.03
1535.00,24.83,15.20,1.52,70.92,17.39,16.49,0.03
1535.50,22.08,14.18,1.48,69.87,17.19,15.75,0.02
1536.00,25.30,15.10,1.49,69.59,16.39,15.55,0.03
1536.50,32.45,15.52,1.53,69.88,16.13,15.76,0.03
1537.00,37.63,15.99,1.55,70.36,16.20,16.10,0.03
1537.50,36.34,17.40,1.55,70.97,15.63,16.53,0.03
1538.00,28.58,18.23,1.55,71.75,16.02,17.08,0.04
1538.50,22.53,15.11,1.56,72.41,17.19,17.55,0.03
1539.00,22.02,13.29,1.59,72.62,18.05,17.70,0.02
1539.50,23.64,12.06,1.61,72.39,18.18,17.53,0.02
1540.00,25.94,12.16,1.61,72.12,18.17,17.34,0.02
1540.50,30.06,11.69,1.60,72.12,18.43,17.34,0.02
1541.00,32.36,10.78,1.63,72.33,18.45,17.49,0.01
1541.50,28.55,10.11,1.71,72.36,18.44,17.51,0.01
1542.00,22.94,10.00,1.81,71.86,18.24,17.16,0.01
1542.50,21.32,12.11,1.88,70.93,17.24,16.50,0.02
1543.00,21.24,15.94,1.90,70.11,16.91,15.92,0.03
1543.50,20.33,16.38,1.89,69.87,17.25,15.75,0.03
1544.00,19.72,12.21,1.88,70.16,17.29,15.96,0.02
1544.50,19.83,11.54,1.88,70.58,17.21,16.25,0.02
1545.00,21.61,13.40,1.95,70.76,16.92,16.38,0.02
1545.50,24.26,16.92,2.12,70.63,16.27,16.29,0.03
1546.00,23.96,18.47,2.33,70.10,15.99,15.91,0.04
1546.50,21.55,16.82,2.47,69.29,15.26,15.34,0.03
1547.00,20.40,19.91,2.47,68.82,14.92,15.01,0.04
1547.50,21.38,23.30,2.36,69.36,14.85,15.39,0.05
1548.00,24.01,22.71,2.24,70.94,15.68,16.51,0.05
1548.50,26.69,21.38,2.18,73.01,16.66,17.97,0.05
1549.00,28.21,22.83,2.16,74.96,15.53,19.35,0.05
1549.50,29.33,27.84,2.13,76.38,14.83,20.36,0.07
1550.00,28.77,37.31,2.06,77.30,14.94,21.00,0.09
1550.50,22.96,36.15,1.96,78.05,14.97,21.54,0.09
1551.00,17.61,28.20,1.89,78.43,16.49,21.80,0.07
1551.50,17.96,23.00,1.89,77.84,17.76,21.39,0.05
1552.00,21.22,20.49,1.94,76.48,17.08,20.42,0.04
1552.50,25.87,20.80,2.00,75.17,16.17,19.50,0.04
1553.00,30.29,22.69,2.04,74.61,15.61,19.10,0.05
1553.50,30.50,20.14,2.05,74.96,15.62,19.35,0.04
1554.00,24.93,16.82,2.07,75.68,16.73,19.86,0.03
1554.50,20.72,14.61,2.10,75.87,18.19,19.99,0.03
1555.00,23.20,15.10,2.13,75.12,18.44,19.46,0.03
1555.50,27.08,15.10,2.13,73.67,18.35,18.43,0.03
1556.00,30.17,16.47,2.10,72.06,17.84,17.30,0.03
1556.50,30.75,15.13,2.04,70.83,17.98,16.43,0.03
1557.00,24.45,13.10,1.99,70.25,18.40,16.02,0.02
1557.50,17.00,13.21,1.96,70.27,18.44,16.03,0.02
1558.00,15.32,15.54,1.95,70.65,18.39,16.30,0.03
